,aux_distance_0,aux_distance_1,aux_distance_2,aux_distance_3,aux_distance_4,aux_leg_0,aux_leg_1,aux_leg_2,aux_leg_3,aux_leg_4,,,,,,,,,,
A0_1,-1,1,0,0,0,-1,1,0,0,0,,,,,,,,,,
A0_2,-1,0,1,0,0,-1,0,1,0,0,,,,,,,,,,
A0_3,-1,0,0,1,0,-1,0,0,1,0,,,,,,,,,,
A0_4,1,0,-2,0,1,-1,0,0,0,1,,,,,,,,,,
A1_2,0,-1,1,0,0,0,-1,1,0,0,,,,,,,,,,
A1_3,0,-1,0,1,0,0,-1,0,1,0,,,,,,,,,,
A1_4,0,1,-2,0,1,0,-1,0,0,1,,,,,,,,,,
A2_3,0,0,-1,1,0,0,0,-1,1,0,,,,,,,,,,
A2_4,0,0,1,-2,1,0,0,-1,0,1,,,,,,,,,,
A3_4,0,0,0,-1,1,0,0,0,-1,1,,,,,,,,,,
A1_0,-1,1,0,0,0,1,-1,0,0,0,,,,,,,,,,
A2_0,-1,2,-1,0,0,1,0,-1,0,0,,,,,,,,,,
A2_1,0,-1,1,0,0,0,1,-1,0,0,,,,,,,,,,
A3_0,-1,0,2,-1,0,1,0,0,-1,0,,,,,,,,,,
A3_1,0,-1,2,-1,0,0,1,0,-1,0,,,,,,,,,,
A3_2,0,0,-1,1,0,0,0,1,-1,0,,,,,,,,,,
A4_0,-1,0,0,2,-1,1,0,0,0,-1,,,,,,,,,,
A4_1,0,-1,0,2,-1,0,1,0,0,-1,,,,,,,,,,
A4_2,0,0,-1,0,1,0,0,1,0,-1,,,,,,,,,,
A4_3,0,0,0,-1,1,0,0,0,1,-1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,A0_1,A0_2,A0_3,A0_4,A1_2,A1_3,A1_4,A2_3,A2_4,A3_4,A1_0,A2_0,A2_1,A3_0,A3_1,A3_2,A4_0,A4_1,A4_2,A4_3
aux_distance_1,1,0,0,0,-1,-1,1,0,0,0,1,2,-1,0,-1,0,0,-1,0,0
aux_distance_2,0,1,0,-2,1,0,-2,-1,1,0,0,-1,1,2,2,-1,0,0,-1,0
aux_distance_3,0,0,1,0,0,1,0,1,-2,-1,0,0,0,-1,-1,1,2,2,0,-1
aux_distance_4,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,-1,-1,1,1
aux_leg_1,1,0,0,0,-1,-1,-1,0,0,0,-1,0,1,0,1,0,0,1,0,0
aux_leg_2,0,1,0,0,1,0,0,-1,-1,0,0,-1,-1,0,0,1,0,0,1,0
aux_leg_3,0,0,1,0,0,1,0,1,0,-1,0,0,0,-1,-1,-1,0,0,0,1
aux_leg_4,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,-1,-1,-1,-1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,A0_1,A1_2,A2_3,A3_4,A1_0,A2_1,A3_2,A4_3,A0_2,A0_3,A1_3,A2_4,A2_0,A3_0,A3_1,A4_0,A4_1,A4_2,A0_4,A1_4
aux_distance_1,1,-1,0,0,1,-1,0,0,0,0,-1,0,2,0,-1,0,-1,0,0,1
aux_distance_2,0,1,-1,0,0,1,-1,0,1,0,0,-1,-1,2,2,0,0,-1,-2,-2
aux_distance_3,0,0,1,-1,0,0,1,-1,0,1,1,0,0,-1,-1,2,2,2,0,0
aux_distance_4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-1,-1,-1,1,1
aux_leg_1,1,-1,0,0,-1,1,0,0,0,0,-1,0,0,0,1,0,1,0,0,-1
aux_leg_2,0,1,-1,0,0,-1,1,0,1,0,0,-1,-1,0,0,0,0,1,0,0
aux_leg_3,0,0,1,-1,0,0,-1,1,0,1,1,0,0,-1,-1,0,0,0,0,0
aux_leg_4,0,0,0,1,0,0,0,-1,0,0,0,1,0,0,0,-1,-1,-1,1,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,A0_1,A1_2,A2_3,A3_4,A1_0,A2_1,A3_2,A4_3,A0_2,A0_3,A1_3,A2_4,A2_0,A3_0,A3_1,A4_0,A4_1,A4_2,A0_4,A1_4
aux_distance_1,1,-1,0,0,1,-1,0,0,0,0,-1,0,2,0,-1,0,-1,0,0,1
aux_distance_2,0,1,-1,0,0,1,-1,0,1,0,0,1,-1,2,2,0,0,-1,-2,-2
aux_distance_3,0,0,1,-1,0,0,1,-1,0,1,1,-2,0,-1,-1,2,2,0,0,0
aux_distance_4,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-1,-1,1,1,1
aux_leg_1,1,-1,0,0,-1,1,0,0,0,0,-1,0,0,0,1,0,1,0,0,-1
aux_leg_2,0,1,-1,0,0,-1,1,0,1,0,0,-1,-1,0,0,0,0,1,0,0
aux_leg_3,0,0,1,-1,0,0,-1,1,0,1,1,0,0,-1,-1,0,0,0,0,0
aux_leg_4,0,0,0,1,0,0,0,-1,0,0,0,1,0,0,0,-1,-1,-1,1,1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
